File;Sebesseg_atlag_globalis;Sebesseg_szoras_globalis;Sebesseg_atlag_horizontalis;Sebesseg_szoras_horizontalis;Sebesseg_atlag_vertikalis;Sebesseg_szoras_vertikalis;Gyorsulas_atlag_globalis;Gyorsulas_szoras_globalis;Gyorsulas_atlag_horizontalis;Gyorsulas_szoras_horizontalis;Gyorsulas_atlag_vertikalis;Gyorsulas_szoras_vertikalis;Meret_globalis;Meret_horizontalis;Meret_vertikalis;Nyomas_atlag;Ido_ossz;Ido_lent;Ido_fent
mondat-gyors_tempoval-1;2.358200684592871;2.0136528037299213;1.2904509894155547;1.332246027982513;1.6250690289921768;1.8799660578119142;13.178538962515429;532.8604156966516;7.9924421350968355;165.42584255478732;7.857292814779825;517.0230041230956;28.18241366983439;14.7405;0.745;9266.968246663599;17.15800000000001;10.271000000000004;6.887000000000004;
mondat-lassu_tempoval-1;1.242320674207441;1.1227967079450336;0.6608961108559178;0.6928526119965002;0.8800432552442198;1.0546942838815745;2.4310720277846474;253.0954675122046;1.5829900779772548;125.65588046826434;1.7530633921401;233.38036464237305;28.25839709188027;13.542;0.663;8089.604271933854;39.18199999999997;20.444;18.73799999999998;
mondat-normal_tempoval-1;1.8931222608741767;1.5866114866690069;1.031855439642325;1.0547734728145524;1.3133289865871833;1.483617697343944;5.024548997072724;459.5182006975977;2.687055386178862;246.11207347754672;3.453220274390244;400.6329303514249;27.876771876128945;14.248000000000001;0.8310000000000001;9032.675111773473;22.041;12.684000000000006;9.357000000000001;
szamok-gyors_tempoval-1;3.3557807409624125;2.5356964512119404;1.9162100456621005;1.8875989505242936;2.2019243313763868;2.3680496987772357;18.764180244247537;1051.897368457461;17.48051658873302;183.430434762366;8.833221999554672;1045.2838927565836;9.159570972511514;4.5575;0.534;12846.579256360079;3.908000000000002;2.433000000000001;1.4750000000000003;
szamok-lassu_tempoval-1;0.9835016848874882;1.193333073659709;0.5726857409630518;0.8950210514460265;0.6201013738828862;0.9369944870438149;1.7055222799891867;329.133921257485;0.954574900594201;257.1362472073629;1.0449895009605503;255.99202357921297;9.923435406382861;5.0845;0.527;14702.00600240096;23.026999999999948;11.556999999999967;11.469999999999978;
szamok-normal_tempoval-1;1.8489072015605164;1.3011049984188208;1.135503282275711;1.1333228088932634;1.1095185995623633;1.1430276641014951;5.811656919597557;383.05731972163943;3.015521064301552;206.28483790355727;4.589800443458981;326.8118491267905;9.085365214664623;5.4275;0.39;12717.154266958425;8.765000000000004;4.2680000000000025;4.4970000000000026;
szo_alairas-nagybetukkel-gyors_tempoval-1;3.1376672225209385;2.45614719215659;1.0283842794759828;1.204019835797168;2.6802401746724884;2.4873056192647844;14.274889887198137;200.52758246645197;7.069351230425055;97.54091495231987;9.328859060402687;189.3802364414689;7.935914595925268;2.158;0.834;11063.475982532751;3.3250000000000006;2.182000000000001;1.143;
szo_alairas-nagybetukkel-gyors_tempoval-2;3.6897171543792693;2.495165211161597;1.293645083932854;1.3431866074837828;3.1209832134292568;2.5732267983202557;20.28394857064767;265.70962427960313;7.721130221130221;107.0223816206889;16.363636363636363;258.9366755037401;8.389946398262538;2.4405;0.741;10363.06474820144;3.0560000000000014;1.990000000000001;1.066;
szo_alairas-nagybetukkel-gyors_tempoval-3;3.7355707414436643;2.552448451520424;1.3276255707762556;1.2619893389663621;3.155365296803653;2.6754336018452123;37.540106036806165;524.7260878597087;14.008307372793354;206.54375061628437;32.49221183800623;490.94095413620875;8.826195114224934;2.606;0.6775;11716.203196347033;3.6610000000000014;2.075000000000001;1.5860000000000005;
szo_alairas-nagybetukkel-lassu_tempoval-1;0.907625506191332;1.0869336635422089;0.39379635873229946;0.7513957113165259;0.6698583951449761;0.9135038729356856;4.491835603185216;327.732837908336;4.054912638983435;261.65048076264924;1.1413660086226456;216.09657361215622;6.467118174298958;2.215;0.518;11678.241402562373;11.696999999999992;6.97199999999999;4.725000000000003;
szo_alairas-nagybetukkel-lassu_tempoval-2;1.0340585011518781;1.036344383616445;0.41523668639053257;0.6030115907983881;0.8150887573964496;0.9711250308772511;2.4963292773124994;237.98890300001025;1.7896350156829193;218.48539816498163;0.8497291132021673;123.41149328723493;6.3585914915604205;2.16;0.623;9436.078613693999;10.305000000000009;5.536000000000003;4.769000000000002;
szo_alairas-nagybetukkel-lassu_tempoval-3;1.271566098277549;1.2400763555928602;0.47400644468313646;0.6122460945585382;1.0439312567132115;1.2104331683306975;3.2618010979427536;258.7524281205686;1.3195201744820066;42.91585158063179;2.4427480916030535;256.7779725795117;6.3638807182453645;2.4465;0.6085;9421.533834586466;8.540999999999995;4.347000000000002;4.193999999999994;
szo_alairas-nagybetukkel-normal_tempoval-1;1.9870266151339981;1.676446075145377;0.8170454545454547;0.8461998283201408;1.5521969696969697;1.7220712134616385;2.6794452677618334;250.49781215066386;2.8923076923076927;131.50350952636768;1.3538461538461548;221.14460502431638;6.976670574683662;2.191;0.466;10681.707575757575;4.818000000000002;3.137000000000002;1.6810000000000005;
szo_alairas-nagybetukkel-normal_tempoval-2;2.544682221885728;2.145031205865318;0.9866120218579236;1.0773746157153117;1.9907103825136614;2.2311454999997355;13.299097570362951;1098.8216455244049;3.2096474953617813;64.90963191306125;10.890538033395176;1098.286718161886;7.526958669846577;2.5340000000000003;0.5215;10668.777777777777;4.492000000000003;2.5910000000000015;1.901000000000001;
szo_alairas-nagybetukkel-normal_tempoval-3;2.518759877748983;2.0301779703477743;0.9666956521739133;1.1431076800730393;2.025826086956522;2.0299278130702065;5.350407120365159;137.82640640600957;3.646017699115044;75.97961072026644;2.5663716814159314;127.65674911574361;7.790083846263066;2.3945;0.6165;11810.721739130435;4.480000000000002;2.7210000000000014;1.7590000000000006;
szo_alairas-normal_betukkel-gyors_tempoval-1;3.238465457844321;3.1183072237135225;1.767622950819672;1.6021555936794984;2.141700819672132;3.1517275507146483;51.076674390759315;1927.7857472586654;11.856540084388188;120.45593977754453;46.265822784810126;1934.697961853439;4.244912111297569;1.6255;0.484;10343.36475409836;1.8450000000000009;1.1640000000000006;0.6810000000000002;
szo_alairas-normal_betukkel-gyors_tempoval-2;2.904247155017927;2.2848778950720336;1.683011583011583;1.6126194558910492;1.8573359073359077;2.1846172117947202;7.116333613008612;176.8332799160422;4.782608695652176;102.53145749765733;4.229249011857707;182.77369647936888;4.182898418368188;1.696;0.524;10074.776061776061;1.8760000000000008;1.2320000000000007;0.6440000000000002;
szo_alairas-normal_betukkel-gyors_tempoval-3;3.9510172651559765;3.503763842880965;2.1437969924812026;1.9555274128856759;2.6768796992481194;3.507315292994785;30.169730860230153;1958.126672320044;9.435897435897436;665.673829739658;27.448717948717945;1848.165811562444;5.542433018031517;2.074;0.6295000000000001;9887.917293233082;1.9160000000000006;1.2680000000000005;0.6480000000000001;
szo_alairas-normal_betukkel-lassu_tempoval-1;0.9888456498223517;0.7459567830690476;0.5333333333333331;0.5046374974488298;0.7063218390804598;0.7041096357657849;0.6396736216348161;105.15224011116732;0.8826945412311268;51.71988737867694;0.2671312427409992;102.85494087097992;4.501410858577504;1.86;0.417;9414.6;8.013999999999983;4.1159999999999926;3.89799999999999;
szo_alairas-normal_betukkel-lassu_tempoval-2;1.061716186139998;0.7905317122218513;0.5726591760299623;0.5238818852153119;0.7631086142322095;0.7530896489887078;0.7537963099029245;162.65352635937765;1.1742424242424252;145.86474966602864;0.3661616161616158;100.08956729463067;4.3735102418915455;1.7555;0.4035;8745.329588014982;6.735999999999995;3.7659999999999956;2.9700000000000015;
szo_alairas-normal_betukkel-lassu_tempoval-3;1.2814170257337785;0.9067812329361532;0.6802997076023394;0.5964351500754534;0.9330043859649125;0.8804782982030247;0.9969662839037998;181.53479446877196;-0.37592592592592633;71.23025960504368;1.1870370370370373;177.6275251821408;4.615173046254906;1.962;0.401;6927.5935672514615;5.674000000000002;3.2249999999999996;2.4490000000000007;
szo_alairas-normal_betukkel-normal_tempoval-1;1.7307605269769955;1.3058629857007675;0.8945328031809144;0.7847926689375901;1.294234592445328;1.2687310549119521;3.716195048787111;74.9480801126235;1.9635627530364363;45.87863200615492;2.732793522267206;79.43386127652016;4.868771046118579;2.0020000000000002;0.436;8089.176938369781;4.270000000000003;2.3670000000000013;1.9030000000000007;
szo_alairas-normal_betukkel-normal_tempoval-2;2.277869979347675;2.0925784200701165;1.2297826086956525;1.3764415196763156;1.6099999999999999;1.8868935824005408;7.883213428933093;859.7564250207597;2.245575221238939;344.06808128634594;4.181415929203541;805.0627924774708;4.906685397401568;1.8960000000000001;0.425;10133.989130434782;3.0850000000000017;2.144000000000001;0.9410000000000001;
szo_alairas-normal_betukkel-normal_tempoval-3;1.9322433367158056;1.3097089588440056;0.9912383177570097;0.8145861337960957;1.430724299065421;1.3250758005714325;7.445600620703167;461.9003836915363;4.047619047619048;182.34660250937517;5.761904761904762;428.98178502366096;4.561208368416995;1.731;0.5025000000000001;7237.47429906542;3.511000000000002;2.0290000000000012;1.4820000000000007;
